_id,co_reg_plan,no_reg_plan,ano,variavel,ensino_rede,ensino_tipo,valor
273,2701.0,Alto Sertão,2016,Matrícula,Pública,Educação de Jovens e Adultos (EJA),6259.0
274,2701.0,Alto Sertão,2016,Matrícula,Pública,Ensino Fundamental,31486.0
275,2701.0,Alto Sertão,2016,Matrícula,Pública,Ensino Médio,6497.0
276,2701.0,Alto Sertão,2016,Matrícula,Total,Educação Infantil,6597.0
277,2701.0,Alto Sertão,2016,Matrícula,Total,Educação Profissional,643.0
278,2701.0,Alto Sertão,2016,Matrícula,Total,Educação de Jovens e Adultos (EJA),6259.0
279,2701.0,Alto Sertão,2016,Matrícula,Total,Ensino Fundamental,33159.0
280,2701.0,Alto Sertão,2016,Matrícula,Total,Ensino Médio,6721.0
281,2701.0,Alto Sertão,2017,Matrícula,Estadual,Educação Infantil,66.0
282,2701.0,Alto Sertão,2017,Matrícula,Estadual,Educação Profissional,119.0
283,2701.0,Alto Sertão,2017,Matrícula,Estadual,Educação de Jovens e Adultos (EJA),799.0
284,2701.0,Alto Sertão,2017,Matrícula,Estadual,Ensino Fundamental,2668.0
285,2701.0,Alto Sertão,2017,Matrícula,Estadual,Ensino Médio,5963.0
286,2701.0,Alto Sertão,2017,Matrícula,Federal,Educação Infantil,0.0
287,2701.0,Alto Sertão,2017,Matrícula,Federal,Educação Profissional,614.0
288,2701.0,Alto Sertão,2017,Matrícula,Federal,Educação de Jovens e Adultos (EJA),56.0
289,2701.0,Alto Sertão,2017,Matrícula,Federal,Ensino Fundamental,0.0
290,2701.0,Alto Sertão,2017,Matrícula,Federal,Ensino Médio,558.0
291,2701.0,Alto Sertão,2017,Matrícula,Municipal,Educação Infantil,6499.0
292,2701.0,Alto Sertão,2017,Matrícula,Municipal,Educação Profissional,0.0
293,2701.0,Alto Sertão,2017,Matrícula,Municipal,Educação de Jovens e Adultos (EJA),4899.0
294,2701.0,Alto Sertão,2017,Matrícula,Municipal,Ensino Fundamental,28236.0
295,2701.0,Alto Sertão,2017,Matrícula,Municipal,Ensino Médio,0.0
296,2701.0,Alto Sertão,2017,Matrícula,Privada,Educação Infantil,366.0
297,2701.0,Alto Sertão,2017,Matrícula,Privada,Educação Profissional,0.0
298,2701.0,Alto Sertão,2017,Matrícula,Privada,Educação de Jovens e Adultos (EJA),0.0
299,2701.0,Alto Sertão,2017,Matrícula,Privada,Ensino Fundamental,1700.0
300,2701.0,Alto Sertão,2017,Matrícula,Privada,Ensino Médio,225.0
301,2701.0,Alto Sertão,2017,Matrícula,Pública,Educação Infantil,6565.0
302,2701.0,Alto Sertão,2017,Matrícula,Pública,Educação Profissional,733.0
303,2701.0,Alto Sertão,2017,Matrícula,Pública,Educação de Jovens e Adultos (EJA),5754.0
304,2701.0,Alto Sertão,2017,Matrícula,Pública,Ensino Fundamental,30904.0
305,2701.0,Alto Sertão,2017,Matrícula,Pública,Ensino Médio,6521.0
306,2701.0,Alto Sertão,2017,Matrícula,Total,Educação Infantil,6931.0
307,2701.0,Alto Sertão,2017,Matrícula,Total,Educação Profissional,733.0
308,2701.0,Alto Sertão,2017,Matrícula,Total,Educação de Jovens e Adultos (EJA),5754.0
309,2701.0,Alto Sertão,2017,Matrícula,Total,Ensino Fundamental,32604.0
310,2701.0,Alto Sertão,2017,Matrícula,Total,Ensino Médio,6746.0
311,2701.0,Alto Sertão,2018,Matrícula,Estadual,Educação Infantil,74.0
